date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
04/20/2023,WI,04/13/2023,04/19/2023,2026115,2334,16541,39,0,0
04/20/2023,WV,04/13/2023,04/19/2023,649528,679,8094,11,0,0
04/20/2023,WY,04/13/2023,04/19/2023,186399,115,2027,4,0,0
04/13/2023,AK,04/06/2023,04/12/2023,296560,358,1468,0,0,0
04/13/2023,AL,04/06/2023,04/12/2023,1654101,1632,21133,2,0,0
04/13/2023,AR,04/06/2023,04/12/2023,991724,714,13074,0,0,0
04/13/2023,AS,04/06/2023,04/12/2023,8326,0,34,0,0,0
04/13/2023,AZ,04/06/2023,04/12/2023,2460926,3675,33293,35,0,0
04/13/2023,CA,04/06/2023,04/12/2023,12205573,11054,101434,124,0,0
04/13/2023,CO,04/06/2023,04/12/2023,1777757,1772,14305,15,0,0
04/13/2023,CT,04/06/2023,04/12/2023,980563,684,12301,9,0,0
04/13/2023,DC,04/06/2023,04/12/2023,178596,94,1434,1,0,0
04/13/2023,DE,04/06/2023,04/12/2023,333253,140,3391,4,0,0
04/13/2023,FL,04/06/2023,04/12/2023,7543465,8478,87139,0,0,0
04/13/2023,FSM,04/06/2023,04/12/2023,25929,224,64,0,0,0
04/13/2023,GA,04/06/2023,04/12/2023,3080317,1837,42682,30,0,0
04/13/2023,GU,04/06/2023,04/12/2023,61237,54,415,0,0,0
04/13/2023,HI,04/06/2023,04/12/2023,371120,932,1833,4,0,0
04/13/2023,IA,04/06/2023,04/12/2023,908936,0,10797,0,0,0
04/13/2023,ID,04/06/2023,04/12/2023,524643,575,5459,0,0,0
04/13/2023,IL,04/06/2023,04/12/2023,4122046,5767,41805,48,0,0
04/13/2023,IN,04/06/2023,04/12/2023,2065880,2766,26328,21,0,0
04/13/2023,KS,04/06/2023,04/12/2023,943652,902,10167,13,0,0
04/13/2023,KY,04/06/2023,04/12/2023,1737620,1820,18404,55,0,0
04/13/2023,LA,04/06/2023,04/12/2023,1592423,1546,18894,20,0,0
04/13/2023,MA,04/06/2023,04/12/2023,2236803,1852,24573,32,0,0
04/13/2023,MD,04/06/2023,04/12/2023,1374454,1372,16677,25,0,0
04/13/2023,ME,04/06/2023,04/12/2023,321730,484,2989,10,0,0
04/13/2023,MI,04/06/2023,04/12/2023,3094023,4646,42611,89,0,0
04/13/2023,MN,04/06/2023,04/12/2023,1790445,1817,14659,36,0,0
04/13/2023,MO,04/06/2023,04/12/2023,1783247,2307,22792,33,0,0
04/13/2023,MP,04/06/2023,04/12/2023,13811,16,43,0,0,0
04/13/2023,MS,04/06/2023,04/12/2023,996607,1004,13429,10,0,0
04/13/2023,MT,04/06/2023,04/12/2023,332890,477,3705,5,0,0
04/13/2023,NC,04/06/2023,04/12/2023,3491933,2798,28937,18,0,0
04/13/2023,ND,04/06/2023,04/12/2023,289881,552,2501,5,0,0
04/13/2023,NE,04/06/2023,04/12/2023,573341,729,5034,3,0,0
04/13/2023,NH,04/06/2023,04/12/2023,380713,312,3029,2,0,0
04/13/2023,NJ,04/06/2023,04/12/2023,3066880,2951,36095,15,0,0
04/13/2023,NM,04/06/2023,04/12/2023,677205,1260,9164,32,0,0
04/13/2023,NV,04/06/2023,04/12/2023,895700,908,11976,3,0,0
04/13/2023,NY,04/06/2023,04/12/2023,3563578,3049,32204,46,0,0
04/13/2023,NYC,04/06/2023,04/12/2023,3258412,2367,45158,15,0,0
04/13/2023,OH,04/06/2023,04/12/2023,3426822,5214,42018,53,0,0
04/13/2023,OK,04/06/2023,04/12/2023,1300316,1808,15991,82,0,0
04/13/2023,OR,04/06/2023,04/12/2023,971436,1288,9526,47,0,0
04/13/2023,PA,04/06/2023,04/12/2023,3551440,3473,50860,80,0,0
04/13/2023,PR,04/06/2023,04/12/2023,1111019,1423,5872,8,0,0
04/13/2023,PW,04/06/2023,04/12/2023,5997,0,9,0,0,0
04/13/2023,RI,04/06/2023,04/12/2023,440695,278,3904,3,0,0
04/13/2023,RMI,04/06/2023,04/12/2023,16081,68,17,0,0,0
04/13/2023,SC,04/06/2023,04/12/2023,1846130,1816,19786,42,0,0
04/13/2023,SD,04/06/2023,04/12/2023,281795,352,3214,0,0,0
